Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,3244.669922,3258.139893,3235.530029,3257.850098,3257.850098,3459930000
2020-01-03,3226.360107,3246.149902,3222.340088,3234.850098,3234.850098,3484700000
2020-01-06,3217.550049,3246.840088,3214.639893,3246.280029,3246.280029,3702460000
2020-01-07,3241.860107,3244.909912,3232.429932,3237.179932,3237.179932,3435910000
2020-01-08,3238.590088,3267.070068,3236.669922,3253.050049,3253.050049,3726840000
2020-01-09,3266.030029,3275.580078,3263.669922,3274.699951,3274.699951,3641230000
2020-01-10,3281.810059,3282.98999,3260.860107,3265.350098,3265.350098,3214580000
2020-01-13,3271.129883,3288.129883,3268.429932,3288.129883,3288.129883,3459390000
2020-01-14,3285.350098,3294.25,3277.189941,3283.149902,3283.149902,3687620000
2020-01-15,3282.27002,3298.659912,3280.689941,3289.290039,3289.290039,3721490000
2020-01-16,3302.969971,3317.110107,3302.820068,3316.810059,3316.810059,3540580000
2020-01-17,3323.659912,3329.879883,3318.860107,3329.620117,3329.620117,3726220000
2020-01-21,3321.030029,3329.790039,3316.610107,3320.790039,3320.790039,4104840000
2020-01-22,3330.02002,3337.77002,3320.040039,3321.75,3321.75,3623780000
2020-01-23,3315.77002,3326.879883,3301.870117,3325.540039,3325.540039,3766710000
2020-01-24,3333.100098,3333.179932,3281.530029,3295.469971,3295.469971,3708780000
2020-01-27,3247.159912,3258.850098,3234.5,3243.629883,3243.629883,3831050000
2020-01-28,3255.350098,3285.780029,3253.219971,3276.23999,3276.23999,3531570000
2020-01-29,3289.459961,3293.469971,3271.889893,3273.399902,3273.399902,3600250000
2020-01-30,3256.449951,3285.909912,3242.800049,3283.659912,3283.659912,3790350000
2020-01-31,3282.330078,3282.330078,3214.679932,3225.52002,3225.52002,4529700000
2020-02-03,3235.659912,3268.439941,3235.659912,3248.919922,3248.919922,3760460000
2020-02-04,3280.610107,3306.919922,3280.610107,3297.590088,3297.590088,3996900000
2020-02-05,3324.909912,3337.580078,3313.75,3334.689941,3334.689941,4121480000
2020-02-06,3344.919922,3347.959961,3334.389893,3345.780029,3345.780029,3887250000
2020-02-07,3335.540039,3341.419922,3322.120117,3327.709961,3327.709961,3733920000
2020-02-10,3318.280029,3352.26001,3317.77002,3352.090088,3352.090088,3462730000
2020-02-11,3365.870117,3375.629883,3352.719971,3357.75,3357.75,3762940000
2020-02-12,3370.5,3381.469971,3369.719971,3379.449951,3379.449951,3930910000
2020-02-13,3365.899902,3385.090088,3360.52002,3373.939941,3373.939941,3500890000
2020-02-14,3378.080078,3380.689941,3366.149902,3380.159912,3380.159912,3419700000
2020-02-18,3369.040039,3375.01001,3355.610107,3370.290039,3370.290039,3750400000
2020-02-19,3380.389893,3393.52002,3378.830078,3386.149902,3386.149902,3614200000
2020-02-20,3380.449951,3389.149902,3341.02002,3373.22998,3373.22998,4019180000
2020-02-21,3360.5,3360.76001,3328.449951,3337.75,3337.75,3908780000
2020-02-24,3257.610107,3259.810059,3214.649902,3225.889893,3225.889893,4851160000
2020-02-25,3238.939941,3246.98999,3118.77002,3128.209961,3128.209961,5596760000
2020-02-26,3139.899902,3182.51001,3108.98999,3116.389893,3116.389893,5484650000
2020-02-27,3062.540039,3097.070068,2977.389893,2978.76001,2978.76001,7064710000
2020-02-28,2916.899902,2959.719971,2855.840088,2954.219971,2954.219971,8569570000
2020-03-02,2974.280029,3090.959961,2945.189941,3090.22998,3090.22998,6381330000
2020-03-03,3096.459961,3136.719971,2976.629883,3003.370117,3003.370117,6376510000
2020-03-04,3045.75,3130.969971,3034.379883,3130.120117,3130.120117,5073020000
2020-03-05,3075.699951,3083.040039,2999.830078,3023.939941,3023.939941,5579290000
2020-03-06,2954.199951,2985.929932,2901.540039,2972.370117,2972.370117,6555240000
2020-03-09,2863.889893,2863.889893,2734.429932,2746.560059,2746.560059,8441290000
2020-03-10,2813.47998,2882.590088,2734.0,2882.22998,2882.22998,7642040000
2020-03-11,2825.600098,2825.600098,2707.219971,2741.379883,2741.379883,7431200000
